Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun039.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 71 (0:11:2)	Pacific - 73 (0:11:4)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 85 (0:13:0)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	95	97	99	100	109	110	111	112	113	114	115	116	125	126	127	128
0.000000	39	7.081820	25.790429	-53.971984	13.960692	-53.895688	0.066273	-9.453108	-0.205799	-0.127940	-0.107379	0.053636	0.150566	-0.010681	-0.182104	0.255696	0.102618	0.062395	0.041505	0.075727	-0.735595	0.100784	0.035569	0.066945	0.116261	0.036659	0.107555	110.764231	0.404994	0.110769	0.543851	0.224717	0.088723	-763.905598	117.109006	173.023225	-49383.823169	-49384.314727	-49997.077101	237.290444	145.335812	243.897197	189.988504	211.330090	310.089484	221.432240	223.343929	428.726765	216.653760	146.208393	0.000000
1.000000	39	7.061983	25.795770	-53.956725	13.960692	-53.895688	0.082841	-9.460738	-0.137199	-0.106616	-0.107379	0.042909	0.118302	0.042726	-0.149968	0.266350	0.098514	0.074874	0.045656	0.050485	-0.683052	0.096585	0.036416	0.066945	0.114635	0.037492	0.107555	110.755588	0.406628	0.112435	0.541353	0.228063	0.092040	-753.356018	121.686324	173.023225	-49383.823169	-49384.314727	-49997.077101	237.290444	143.810039	246.911363	191.514277	208.315924	311.615257	224.446405	223.343929	425.712600	218.179532	147.707275	0.000000
2.000000	39	8.172857	25.811792	-53.987243	13.960692	-53.880428	0.115977	-9.361553	-0.137199	-0.063970	-0.064428	0.064364	0.150566	0.000000	-0.182104	0.223734	0.098514	0.074874	0.045656	0.151455	-0.656781	0.100784	0.035569	0.066109	0.113009	0.035826	0.106708	110.772874	0.405811	0.111602	0.543851	0.228899	0.090381	-753.356018	126.263643	185.229408	-49383.823169	-49384.314727	-49997.077101	241.867763	139.232720	240.883031	182.359639	199.273427	310.089484	209.375577	221.818157	422.698434	210.550668	158.199455	0.000000
3.000000	39	9.283731	25.795770	-54.017762	13.960692	-53.895688	0.248523	-9.231849	0.000000	0.021323	-0.021476	0.128727	0.172076	0.074770	-0.160680	0.255696	0.119037	0.074874	0.049806	0.302910	-0.577967	0.098685	0.035569	0.067782	0.115448	0.035826	0.108402	110.833373	0.406628	0.109936	0.543851	0.227226	0.088723	-739.792272	135.418280	192.858273	-49383.823169	-49384.314727	-49997.077101	254.073946	128.552310	233.347617	171.679229	190.230930	384.852355	201.840163	214.189292	413.655937	204.447576	156.700573	0.000000
4.000000	39	10.057375	25.806452	-54.017762	13.960692	-53.895688	0.381068	-9.079257	0.034300	0.106616	0.085904	0.182363	0.247359	0.149541	-0.128544	0.287658	0.172399	0.087353	0.053957	0.403880	-0.499154	0.100784	0.033876	0.066945	0.113009	0.037492	0.107555	110.876588	0.406628	0.110769	0.541353	0.223880	0.088723	-735.271024	135.418280	195.909818	-49383.823169	-49384.314727	-49997.077101	263.228583	120.923446	218.276789	165.576138	184.202599	204.811155	197.318914	203.508882	401.599274	187.664075	173.188284	0.000000
5.000000	39	10.473952	25.806452	-54.002503	13.971374	-53.910947	0.463909	-8.941923	0.102899	0.149263	0.107379	0.203818	0.290378	0.149541	-0.096408	0.298312	0.184713	0.099832	0.053957	0.454364	-0.262712	0.096585	0.055895	0.075314	0.113009	0.038325	0.105861	110.928445	0.404994	0.109936	0.543018	0.228899	0.090381	-732.256858	144.572918	202.012910	-49383.823169	-49384.314727	-49997.077101	269.331675	116.346127	209.234292	151.844182	179.681350	361.965762	189.783500	195.880018	397.078025	184.612529	171.689401	0.000000
6.000000	39	11.168249	25.811792	-54.033021	13.966033	-53.895688	0.563319	-8.804590	0.205799	0.234556	0.214759	0.289636	0.333396	0.160222	-0.053560	0.319620	0.201132	0.103992	0.066408	0.504849	-0.078814	0.098685	0.054201	0.076150	0.113822	0.038325	0.106708	111.014873	0.404177	0.110769	0.543851	0.225553	0.089552	-726.228526	153.727555	211.167547	-49383.823169	-49384.314727	-49997.077101	283.063630	108.717262	195.670546	138.112226	166.117604	401.635857	182.248086	189.776926	386.528446	173.932119	182.181581	0.000000
7.000000	39	11.783197	25.817133	-54.017762	13.955351	-53.895688	0.695864	-8.690146	0.342998	0.319849	0.257711	0.343272	0.354906	0.224311	-0.021424	0.330274	0.188818	0.112311	0.074709	0.706789	0.026271	0.096585	0.055895	0.077824	0.113822	0.038325	0.106708	111.092659	0.404177	0.109936	0.543018	0.227226	0.086236	-720.200195	156.779101	220.322185	-49383.823169	-49384.314727	-49997.077101	290.692495	99.562625	186.628049	125.906043	158.582190	212.440020	173.205588	183.673835	382.007197	161.725936	183.680464	0.000000
