Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun044.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 71 (0:11:2)	Pacific - 73 (0:11:4)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 85 (0:13:0)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	95	97	99	100	109	110	111	112	113	114	115	116	125	126	127	128
0.000000	44	8.073672	26.260414	-54.200873	13.982055	-53.895688	0.215387	-9.414960	0.000000	-0.021323	0.000000	0.128727	0.215094	0.074770	-0.182104	0.362236	0.069781	0.112311	0.033204	0.353395	-1.024579	0.125980	0.250679	0.070293	0.135773	-0.000833	0.229507	111.593944	0.465451	0.063297	1.009414	0.330117	0.146766	-4599.431464	213.232697	226.425276	-49383.823169	-49384.314727	-49997.077101	366.981139	204.840954	251.432611	301.369924	265.585073	265.842070	265.137643	287.426390	608.069625	228.859943	251.130193	0.000000
1.000000	44	8.053835	26.265755	-54.170354	13.971374	-53.926206	0.215387	-9.399701	-0.034300	0.000000	-0.042952	0.118000	0.204340	0.074770	-0.171392	0.372890	0.065676	0.112311	0.037355	0.277667	-1.050850	0.125980	0.250679	0.071966	0.136586	-0.000833	0.229507	111.611229	0.464634	0.064129	1.008581	0.331790	0.146766	-4587.374801	213.232697	232.528368	-49383.823169	-49384.314727	-49997.077101	368.506912	203.315181	251.432611	301.369924	264.077990	247.532796	262.123477	292.003709	611.083791	227.334170	252.629075	0.000000
2.000000	44	8.073672	26.271096	-54.200873	13.982055	-53.910947	0.231955	-9.392071	-0.034300	0.021323	0.000000	0.128727	0.215094	0.074770	-0.171392	0.383544	0.061571	0.133110	0.041505	0.328152	-1.129664	0.121781	0.251526	0.071129	0.134960	-0.001666	0.232047	111.611229	0.465451	0.065795	1.008581	0.329281	0.146766	-4590.388967	213.232697	229.476822	-49383.823169	-49384.314727	-49997.077101	366.981139	198.737862	246.911363	301.369924	264.077990	227.697748	259.109311	288.952163	612.590874	227.334170	249.631310	0.000000
3.000000	44	9.204382	26.255074	-54.185614	13.987396	-53.956725	0.231955	-9.292886	0.000000	0.042647	0.000000	0.150182	0.225849	0.085452	-0.160680	0.383544	0.069781	0.124790	0.041505	0.429122	-0.998307	0.125980	0.250679	0.069456	0.134147	-0.003333	0.231201	111.602586	0.467902	0.065795	1.008581	0.328444	0.146766	-4591.896050	217.810016	237.105686	-49383.823169	-49384.314727	-49997.077101	373.084230	192.634771	239.375949	296.792606	255.035493	221.594657	256.095145	278.271753	609.576708	222.756851	254.127958	0.000000
4.000000	44	10.354930	26.271096	-54.216132	13.976714	-53.895688	0.397637	-9.125034	0.171499	0.149263	0.128855	0.214545	0.268868	0.138859	-0.128544	0.383544	0.090304	0.128950	0.045656	0.555334	-0.866951	0.123881	0.251526	0.070293	0.133334	-0.003333	0.228660	111.671729	0.465451	0.064129	1.009414	0.330117	0.144279	-4575.318138	231.541972	246.260324	-49383.823169	-49384.314727	-49997.077101	383.764641	189.583225	224.305120	281.534877	256.542576	212.440020	245.545565	276.745980	606.562542	213.602214	258.624607	0.000000
5.000000	44	11.108737	26.265755	-54.231391	13.976714	-53.941465	0.546750	-8.949553	0.308698	0.255879	0.257711	0.321818	0.344151	0.170904	-0.074984	0.415506	0.110828	0.145589	0.049806	0.681547	-0.683052	0.123881	0.251526	0.073640	0.134960	-0.001666	0.231201	111.775443	0.467085	0.064962	1.007749	0.327608	0.146766	-4572.303973	239.170836	256.940734	-49383.823169	-49384.314727	-49997.077101	395.970824	183.480134	215.262623	275.431785	239.964664	200.233836	239.517234	264.539797	599.027128	201.396031	276.611201	0.000000
6.000000	44	11.783197	26.276437	-54.231391	13.982055	-53.910947	0.679296	-8.781701	0.445897	0.383819	0.343614	0.375454	0.408679	0.234993	-0.064272	0.404852	0.127247	0.162227	0.053957	0.908729	-0.499154	0.128080	0.251526	0.082845	0.136586	-0.003333	0.230354	111.861872	0.464634	0.066628	1.008581	0.329281	0.145108	-4572.303973	248.325474	267.621144	-49383.823169	-49384.314727	-49997.077101	408.177007	168.222405	200.191794	260.174056	232.429250	191.079199	228.967654	258.436706	600.534211	192.241393	281.107850	0.000000
7.000000	44	12.378307	26.271096	-54.246651	13.987396	-53.910947	0.844978	-8.598590	0.548796	0.490435	0.408042	0.471999	0.462453	0.277718	-0.010712	0.458123	0.188818	0.187185	0.053957	1.085426	-0.288984	0.121781	0.249832	0.084519	0.150407	-0.001666	0.229507	111.982871	0.467085	0.064962	1.006916	0.329281	0.144279	-4566.275641	254.428565	273.724235	-49383.823169	-49384.314727	-49997.077101	418.857417	160.593540	189.642214	243.390555	221.879670	178.873016	218.418074	247.756296	603.548377	180.035210	291.600030	0.000000
