Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun041.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 71 (0:11:2)	Pacific - 73 (0:11:4)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 85 (0:13:0)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	95	97	99	100	109	110	111	112	113	114	115	116	125	126	127	128
0.000000	41	4.483169	26.249733	-54.200873	13.736381	-53.880428	0.149114	-9.331034	0.068600	0.000000	-0.064428	0.128727	0.182830	0.042726	-0.160680	0.277004	0.094409	0.120631	0.045656	0.252425	-0.919494	0.119681	0.149052	0.082008	0.145529	0.055821	0.136349	111.179087	0.383753	0.080786	0.900311	0.274071	0.102819	-3420.892671	132.366735	195.909818	-49383.823169	-49384.314727	-49997.077101	299.847132	159.067768	246.911363	222.029734	233.936333	183.450335	251.573897	266.065570	603.548377	259.375400	176.186050	0.000000
1.000000	41	4.483169	26.265755	-54.216132	13.731040	-53.880428	0.198818	-9.315775	0.102899	0.042647	-0.064428	0.139454	0.193585	0.053407	-0.171392	0.287658	0.094409	0.124790	0.049806	0.277667	-0.893222	0.121781	0.149052	0.081171	0.147155	0.054988	0.135502	111.170444	0.385387	0.081619	0.899478	0.274907	0.104478	-3426.921003	133.892507	198.961364	-49383.823169	-49384.314727	-49997.077101	293.744041	152.964676	251.432611	222.029734	230.922167	178.873016	247.052648	267.591343	605.055460	254.798082	185.179347	0.000000
2.000000	41	4.503006	26.255074	-54.216132	13.736381	-53.880428	0.165682	-9.308145	0.034300	-0.042647	-0.042952	0.118000	0.161321	0.021363	-0.160680	0.298312	0.090304	0.120631	0.045656	0.277667	-0.893222	0.123881	0.148206	0.079498	0.146342	0.056655	0.135502	111.170444	0.384570	0.080786	0.897812	0.274071	0.101161	-3417.878506	130.840962	200.487137	-49383.823169	-49384.314727	-49997.077101	295.269814	149.913130	249.925529	222.029734	230.922167	180.398789	247.052648	266.065570	600.534211	251.746536	180.682698	0.000000
3.000000	41	4.483169	26.255074	-54.261910	13.736381	-53.865169	0.149114	-9.323405	0.102899	-0.063970	-0.042952	0.107273	0.172076	0.021363	-0.182104	0.298312	0.082095	0.120631	0.053957	0.201940	-0.788137	0.128080	0.149052	0.078661	0.143090	0.056655	0.135502	111.170444	0.387020	0.082452	0.896147	0.270725	0.101161	-3417.878506	130.840962	200.487137	-49383.823169	-49384.314727	-49997.077101	295.269814	151.438903	248.418446	222.029734	232.429250	175.821470	248.559731	266.065570	602.041294	253.272309	180.682698	0.000000
4.000000	41	4.522843	26.255074	-54.231391	13.731040	-53.865169	0.182250	-9.315775	0.068600	0.000000	-0.021476	0.139454	0.172076	0.032044	-0.160680	0.330274	0.086200	0.133110	0.041505	0.252425	-0.866951	0.119681	0.149899	0.081171	0.144716	0.055821	0.134655	111.179087	0.389471	0.079954	0.897812	0.273234	0.101990	-3416.371423	135.418280	198.961364	-49383.823169	-49384.314727	-49997.077101	293.744041	151.438903	249.925529	225.081280	233.936333	174.295697	247.052648	259.962479	605.055460	253.272309	179.183815	0.000000
5.000000	41	4.503006	26.249733	-54.216132	13.741722	-53.834651	0.182250	-9.315775	0.068600	0.042647	-0.021476	0.139454	0.182830	0.021363	-0.171392	0.308966	0.090304	0.128950	0.049806	0.201940	-0.866951	0.123881	0.149052	0.082008	0.143903	0.053322	0.134655	111.179087	0.389471	0.083285	0.896147	0.272398	0.101990	-3417.878506	135.418280	202.012910	-49383.823169	-49384.314727	-49997.077101	296.795586	151.438903	248.418446	222.029734	235.443416	177.347243	250.066814	269.117116	603.548377	256.323854	177.684933	0.000000
6.000000	41	4.522843	26.249733	-54.216132	13.741722	-53.880428	0.182250	-9.315775	-0.034300	0.021323	-0.021476	0.139454	0.172076	0.032044	-0.149968	0.287658	0.090304	0.116471	0.041505	0.227182	-0.893222	0.121781	0.150746	0.079498	0.143903	0.052489	0.135502	111.187730	0.390288	0.083285	0.896980	0.269052	0.103648	-3435.963500	133.892507	195.909818	-49383.823169	-49384.314727	-49997.077101	289.166722	154.490449	248.418446	225.081280	233.936333	174.295697	245.545565	270.642889	609.576708	256.323854	182.181581	0.000000
7.000000	41	4.562517	26.255074	-54.231391	13.731040	-53.880428	0.182250	-9.323405	0.068600	0.021323	0.021476	0.107273	0.172076	0.032044	-0.149968	0.298312	0.094409	0.120631	0.053957	0.277667	-0.919494	0.119681	0.149052	0.082008	0.143090	0.053322	0.134655	111.187730	0.389471	0.081619	0.895314	0.269888	0.101990	-3408.836009	132.366735	195.909818	-49383.823169	-49384.314727	-49997.077101	293.744041	152.964676	248.418446	225.081280	235.443416	162.089514	251.573897	270.642889	602.041294	256.323854	173.188284	0.000000
