Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun051.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 71 (0:11:2)	Pacific - 73 (0:11:4)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 85 (0:13:0)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	95	97	99	100	109	110	111	112	113	114	115	116	125	126	127	128
0.000000	51	38.166448	32.792138	-53.804132	14.088870	-53.865169	0.198818	-9.056368	-0.102899	-0.341173	-0.322138	-0.289636	-0.129057	-0.341807	-0.567736	0.149156	0.205237	0.386850	0.336192	1.666003	-1.917801	0.461928	0.414975	-0.511296	0.286181	0.120808	0.215957	117.669861	2.987469	-0.313152	1.123515	0.118480	0.154229	190.077850	-49996.901279	58.590259	-49383.823169	-49384.314727	-49997.077101	-49997.255898	645.789317	647.795402	49994.266894	567.001644	49993.831816	49382.474974	-243.542572	1358.596887	500.447515	691.801753	0.000000
1.000000	51	38.146611	32.813501	-53.758354	14.078188	-53.849910	0.248523	-9.025849	-0.137199	-0.383819	-0.322138	-0.332545	-0.129057	-0.373852	-0.557024	0.170464	0.217551	0.386850	0.332041	1.666003	-1.865259	0.453529	0.415822	-0.509622	0.287807	0.120808	0.216803	117.669861	2.986652	-0.312319	1.125181	0.118480	0.155058	194.599098	-49996.901279	57.064486	-49383.823169	-49384.314727	-49997.077101	-49997.255898	651.892408	650.809568	49994.266894	568.508727	49993.831816	49382.474974	-248.119891	1363.118136	501.973288	696.298402	0.000000
2.000000	51	39.455855	32.808161	-53.865169	14.088870	-53.941465	0.364500	-8.857997	0.000000	-0.170586	-0.257711	-0.246727	-0.064528	-0.341807	-0.524888	0.159810	0.217551	0.395169	0.340342	1.918428	-1.733902	0.457729	0.414975	-0.509622	0.287807	0.124140	0.216803	117.669861	2.987469	-0.313984	1.125181	0.117643	0.154229	193.092015	-49996.901279	67.744896	-49383.823169	-49384.314727	-49997.077101	-49997.255898	648.840862	650.809568	49994.266894	565.494561	49993.831816	49382.474974	-344.243582	1363.118136	500.447515	697.797285	0.000000
3.000000	51	40.606403	32.808161	-53.880428	14.104892	-53.926206	0.613023	-8.598590	0.137199	-0.042647	-0.128855	-0.118000	0.010755	-0.234993	-0.460616	0.213080	0.229865	0.415967	0.352794	1.994155	-1.497461	0.455629	0.416669	-0.508785	0.287807	0.122474	0.217650	117.773575	2.989920	-0.313984	1.126013	0.117643	0.153400	211.177009	-49996.901279	79.951080	-49383.823169	-49384.314727	-49997.077101	-49997.255898	639.686225	649.302485	49994.266894	565.494561	49993.831816	49382.474974	-13362.137805	1363.118136	492.818651	709.788347	0.000000
4.000000	51	41.261025	32.808161	-53.910947	14.110233	-53.910947	0.844978	-8.323923	0.342998	0.085293	0.042952	0.010727	0.139811	-0.170904	-0.396344	0.245042	0.254494	0.436766	0.352794	2.499004	-1.287291	0.459828	0.416669	-0.497906	0.287807	0.122474	0.216803	117.903218	2.988286	-0.314817	1.126013	0.120989	0.155887	215.698258	-49996.901279	87.579944	-49383.823169	-49384.314727	-49997.077101	-49997.255898	636.634679	650.809568	49994.266894	563.987478	49993.831816	49382.474974	-22088.032913	1364.625218	497.395970	726.276059	0.000000
5.000000	51	41.895810	32.813501	-53.895688	14.115574	-53.895688	1.060364	-8.087405	0.514496	0.255879	0.257711	0.139454	0.225849	-0.074770	-0.364208	0.287658	0.275018	0.461724	0.361095	2.650459	-0.945765	0.455629	0.415822	-0.492886	0.286994	0.122474	0.215110	118.076075	3.016881	-0.314817	1.123515	0.119316	0.153400	218.712424	-49996.901279	98.260354	-49383.823169	-49384.314727	-49997.077101	-49997.255898	638.160452	649.302485	49994.266894	567.001644	49993.831816	49382.474974	-284.738440	1372.160633	477.560922	735.269356	0.000000
6.000000	51	42.352062	32.824183	-53.865169	14.104892	-53.895688	1.292319	-7.835627	0.685995	0.447789	0.429518	0.257454	0.344151	-0.010681	-0.246376	0.351582	0.299646	0.470043	0.369396	2.902884	-0.656781	0.455629	0.416669	-0.487028	0.285368	0.121641	0.215110	118.240289	3.025867	-0.314817	1.126013	0.119316	0.154229	229.262004	-49996.901279	98.260354	-49383.823169	-49384.314727	-49997.077101	-49997.255898	632.057361	643.274154	49994.266894	562.480395	49993.831816	49382.474974	-225.233298	1376.681881	477.560922	751.757067	0.000000
7.000000	51	42.828150	32.840205	-53.865169	14.110233	-53.895688	1.524274	-7.591479	0.891794	0.597052	0.536897	0.364727	0.462453	0.074770	-0.192816	0.394198	0.320170	0.478362	0.381848	3.079581	-0.315255	0.451430	0.418363	-0.485354	0.285368	0.124140	0.217650	118.395860	3.025051	-0.313152	1.127679	0.120153	0.154229	229.262004	-49996.901279	102.837673	-49383.823169	-49384.314727	-49997.077101	-49997.255898	629.005815	646.288319	49994.266894	559.466230	49993.831816	49382.474974	-261.851847	1376.681881	477.560922	759.251482	0.000000
