Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun057.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 71 (0:11:2)	Pacific - 73 (0:11:4)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 85 (0:13:0)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	95	97	99	100	109	110	111	112	113	114	115	116	125	126	127	128
0.000000	57	47.192297	47.970519	-54.033021	25.496689	-54.033021	1.988183	-5.920591	1.749287	1.044841	0.751656	0.632908	0.720566	0.373852	-0.021424	0.649895	0.673177	0.823615	0.846706	4.619372	-0.788137	1.503366	-1.006951	-0.517153	0.357726	0.178295	0.252373	145.949240	12.288792	-0.619640	1.151832	0.056578	0.160033	-49383.905587	483.294497	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	639.686225	610.118331	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
1.000000	57	47.172460	47.959838	-54.094058	25.496689	-54.078799	1.988183	-5.905332	1.646388	1.002194	0.880511	0.622181	0.709812	0.363170	0.000000	0.660549	0.681387	0.823615	0.846706	4.594129	-0.788137	1.505466	-1.007797	-0.517153	0.359352	0.179962	0.252373	145.957883	12.288792	-0.619640	1.149333	0.056578	0.160033	-49383.905587	477.191406	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	639.686225	611.625414	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
2.000000	57	48.303171	47.970519	-54.124577	25.502029	-54.109317	2.203570	-5.699332	1.817887	1.130134	0.966414	0.718726	0.785095	0.437941	0.021424	0.671203	0.681387	0.823615	0.855007	4.846554	-0.577967	1.503366	-1.007797	-0.517153	0.359352	0.179128	0.251526	145.975169	12.286341	-0.619640	1.148500	0.055741	0.159204	-49383.905587	481.768724	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	632.057361	607.104165	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
3.000000	57	49.136326	47.981201	-54.094058	25.491348	-54.063540	2.402388	-5.455184	1.955086	1.343367	1.073794	0.836726	0.935661	0.544755	0.074984	0.756435	0.701910	0.840254	0.855007	5.124221	-0.367797	1.505466	-1.006951	-0.517153	0.356913	0.179128	0.253220	146.078883	12.289609	-0.621306	1.148500	0.054905	0.156717	-49383.905587	515.335728	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	635.108907	602.582917	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
4.000000	57	49.751274	47.986541	-54.124577	25.491348	-54.063540	2.617775	-5.203406	2.195184	1.535276	1.224125	0.976180	1.021699	0.608844	0.171392	0.788397	0.730644	0.877691	0.859157	5.401888	0.026271	1.503366	-1.007797	-0.507111	0.358539	0.179962	0.252373	146.225811	12.289609	-0.618808	1.147667	0.055741	0.160862	-49383.905587	542.799640	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	629.005815	601.075834	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
5.000000	57	50.207526	48.002564	-54.109317	25.491348	-54.078799	2.882866	-4.913480	2.332383	1.684539	1.395932	1.104907	1.129246	0.715659	0.214240	0.820359	0.747063	0.886010	0.875759	5.654313	0.288984	1.501267	-1.006951	-0.503764	0.359352	0.178295	0.252373	146.390025	12.287975	-0.617142	1.146835	0.054905	0.158375	-49383.905587	551.954277	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	625.954269	602.582917	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
6.000000	57	50.485244	48.007904	-54.078799	25.491348	-54.109317	3.098252	-4.669332	2.606781	1.833802	1.589215	1.244362	1.247548	0.822474	0.289224	0.873629	0.779901	0.915128	0.884060	6.058193	0.551696	1.503366	-1.006951	-0.502091	0.356913	0.178295	0.252373	146.528310	12.287975	-0.617975	1.146835	0.054905	0.158375	-49383.905587	551.954277	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	624.428496	605.597082	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
7.000000	57	50.564592	48.018586	-54.124577	25.496689	-54.155095	3.346775	-4.425184	2.709680	2.047035	1.718070	1.405271	1.387359	0.929289	0.353496	0.926899	0.816843	0.931767	0.896512	6.361102	0.840680	1.501267	-0.986625	-0.501254	0.359352	0.178295	0.250679	146.657953	12.285524	-0.619640	1.148500	0.055741	0.160862	-49383.905587	559.583141	49994.085117	-49383.823169	-49384.314727	-49997.077101	-49997.255898	625.954269	602.582917	49994.266894	-49385.259589	-49997.693957	49382.474974	-49997.470457	-49383.375762	49994.994010	-49116.075645	0.000000
