Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun021.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	21	27.434614	49.220252	-54.261910	29.342021	-53.849910	-0.165682	-27.451399	-0.490514	-0.531333	-0.559925	-0.707831	-0.817947	-0.759929	-0.802960	-0.666354	-0.297113	-0.113140	-0.092106	2.121797	-1.222588	0.267991	-0.360521	0.110978	0.093941	0.056487	0.041054	0.919692	-0.242363	-0.035466	0.310877	0.026889	-37149.642448	2664.672897	49993.289454	2229.670199	-49997.181400	49993.757319	49382.136475	-1085.051009	-49384.647344	2409.904608	-992.428796	23865.570216	1011.803018	-1162.019131	-49115.446240	0.679951
1.000000	21	27.454451	49.236274	-54.246651	29.342021	-53.849910	-0.165682	-27.451399	-0.421914	-0.488687	-0.581401	-0.729286	-0.850211	-0.781292	-0.824384	-0.645046	-0.297113	-0.117299	-0.083805	2.147040	-1.275130	0.265892	-0.362215	0.111815	0.093941	0.058153	0.041054	0.920509	-0.243195	-0.038797	0.310041	0.026889	-37125.529122	2666.198670	49993.289454	2231.177282	-49997.181400	49993.757319	49382.136475	-1094.205646	-49384.647344	2409.904608	-992.428796	23865.570216	1016.324266	-1155.916039	-49115.446240	0.679951
2.000000	21	27.434614	49.230934	-54.292428	29.342021	-53.895688	-0.165682	-27.459029	-0.456214	-0.488687	-0.559925	-0.707831	-0.850211	-0.759929	-0.824384	-0.655700	-0.301217	-0.113140	-0.096256	2.147040	-1.196316	0.267991	-0.361368	0.112652	0.095567	0.058986	0.039360	0.918875	-0.239031	-0.038797	0.311714	0.027718	-37175.262856	2666.198670	49993.289454	2225.148951	-49997.181400	49993.757319	49382.136475	-1086.576782	-49384.647344	2411.430381	-984.893382	23873.199081	1013.310101	-1160.493358	-49115.446240	0.679951
3.000000	21	27.434614	49.230934	-54.246651	29.352702	-53.941465	-0.149114	-27.474288	-0.456214	-0.510010	-0.516973	-0.707831	-0.839457	-0.770610	-0.824384	-0.645046	-0.305322	-0.113140	-0.083805	2.197525	-1.091231	0.265892	-0.362215	0.110978	0.093941	0.057320	0.040207	0.918875	-0.239864	-0.039630	0.310041	0.026059	-37125.529122	2661.621351	49993.289454	2223.641868	-49997.181400	49993.757319	49382.136475	-1092.679873	-49384.647344	2405.327290	-990.921713	23880.827945	1017.831349	-1158.967585	-49115.446240	0.679951
4.000000	21	27.434614	49.236274	-54.231391	29.331339	-53.895688	-0.132546	-27.481918	-0.490514	-0.488687	-0.581401	-0.729286	-0.839457	-0.749247	-0.845808	-0.645046	-0.305322	-0.125619	-0.092106	2.172282	-1.143774	0.265892	-0.362215	0.112652	0.094754	0.057320	0.040207	0.919692	-0.243195	-0.036299	0.309204	0.026059	-37134.571619	2660.095578	49993.289454	2226.656033	-49997.181400	49993.757319	49382.136475	-1086.576782	-49384.647344	2406.853063	-992.428796	23880.827945	1019.338432	-1163.544904	-49115.446240	0.679951
5.000000	21	27.454451	49.241615	-54.216132	29.320658	-53.865169	-0.165682	-27.466659	-0.456214	-0.510010	-0.581401	-0.707831	-0.828702	-0.738566	-0.845808	-0.634392	-0.305322	-0.125619	-0.092106	2.172282	-1.196316	0.265892	-0.361368	0.113488	0.093128	0.058986	0.041901	0.921326	-0.243195	-0.040463	0.310041	0.024401	-37169.234525	2661.621351	49993.289454	2226.656033	-49997.181400	49993.757319	49382.136475	-1089.628328	-49384.647344	2409.904608	-1001.471293	23894.559901	1016.324266	-1158.967585	-49115.446240	0.679951
6.000000	21	27.454451	49.246956	-54.231391	29.336680	-53.926206	-0.165682	-27.481918	-0.456214	-0.510010	-0.516973	-0.707831	-0.860966	-0.749247	-0.845808	-0.645046	-0.309427	-0.117299	-0.079654	2.121797	-1.196316	0.265892	-0.362215	0.112652	0.093128	0.057320	0.040207	0.919692	-0.244861	-0.037132	0.310877	0.026889	-37164.713276	2663.147124	49993.289454	2229.670199	-49997.181400	49993.757319	49382.136475	-1091.154101	-49384.647344	2411.430381	-990.921713	23900.662992	1019.338432	-1157.441812	-49115.446240	0.679951
7.000000	21	27.414777	49.252297	-54.216132	29.331339	-53.910947	-0.165682	-27.466659	-0.490514	-0.488687	-0.602876	-0.718559	-0.828702	-0.759929	-0.845808	-0.645046	-0.297113	-0.117299	-0.083805	2.147040	-1.248859	0.267991	-0.362215	0.112652	0.093941	0.057320	0.040207	0.921326	-0.243195	-0.039630	0.310877	0.026059	-37110.458293	2667.724443	49993.289454	2225.148951	-49997.181400	49993.757319	49382.136475	-1094.205646	-49384.647344	2411.430381	-993.935879	23908.291857	1013.310101	-1160.493358	-49115.446240	0.679951
8.000000	21	27.394940	49.241615	-54.231391	29.342021	-53.895688	-0.132546	-27.474288	-0.490514	-0.446040	-0.538449	-0.718559	-0.828702	-0.749247	-0.845808	-0.634392	-0.313532	-0.121459	-0.087955	2.147040	-1.301401	0.265892	-0.363062	0.112652	0.093128	0.057320	0.040207	0.919692	-0.244861	-0.040463	0.311714	0.024401	-37099.908713	2664.672897	49993.289454	2225.148951	-49997.181400	49993.757319	49382.136475	-1092.679873	-49384.647344	2409.904608	-996.950045	23915.920721	1010.295935	-1158.967585	-49115.446240	0.679951
9.000000	21	27.454451	49.252297	-54.200873	29.336680	-53.910947	-0.165682	-27.459029	-0.456214	-0.488687	-0.538449	-0.697104	-0.839457	-0.759929	-0.813672	-0.634392	-0.301217	-0.113140	-0.087955	2.121797	-1.327673	0.265892	-0.362215	0.110978	0.093941	0.058153	0.041054	0.919692	-0.243195	-0.040463	0.310041	0.025230	-37116.486625	2658.569805	49993.289454	2223.641868	-49997.181400	49993.757319	49382.136475	-1091.154101	-49384.647344	2412.956154	-986.400465	23920.498040	1017.831349	-1160.493358	-49115.446240	0.679951
