Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun023.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	23	44.395276	52.029481	-54.048280	29.646443	-53.880428	-0.165682	-26.871548	-0.627713	-0.701919	-0.796159	-0.954558	-1.129834	-0.994921	-0.985064	-0.719624	-0.149342	0.119802	0.775352	3.838285	-2.431065	0.282689	-0.760253	0.146124	0.161421	0.130638	0.129131	147.150139	1.662327	-0.458904	-0.137074	0.170343	-0.042763	-49384.141066	-49995.852327	-49998.236319	2244.741028	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2464.832432	-49384.859274	49992.905035	1023.859681	49995.619805	-49115.446240	0.679951
1.000000	23	44.375439	52.013459	-54.002503	29.657125	-53.880428	-0.149114	-26.879177	-0.627713	-0.616626	-0.796159	-0.965285	-1.119079	-0.973558	-1.017200	-0.730278	-0.149342	0.115642	0.767051	3.838285	-2.483608	0.284789	-0.761100	0.146124	0.159795	0.131471	0.129131	147.141496	1.659059	-0.459737	-0.137907	0.169507	-0.043592	-49384.141066	-49995.852327	-49998.236319	2241.726862	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2466.358205	-49384.859274	49992.905035	1019.338432	49995.619805	-49115.446240	0.679951
2.000000	23	44.415113	52.024140	-54.033021	29.662465	-53.865169	-0.182250	-26.886807	-0.559113	-0.680596	-0.774683	-0.965285	-1.129834	-1.005603	-0.995776	-0.740932	-0.141133	0.123962	0.771202	3.838285	-2.457336	0.284789	-0.760253	0.146124	0.159795	0.129805	0.129131	147.158782	1.659876	-0.462235	-0.134575	0.168670	-0.046080	-49384.141066	-49995.852327	-49998.236319	2244.741028	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2467.883978	-49384.859274	49992.905035	1020.845515	49995.619805	-49115.446240	0.679951
3.000000	23	44.355602	52.029481	-54.048280	29.641102	-53.895688	-0.165682	-26.879177	-0.593413	-0.680596	-0.796159	-0.943831	-1.151343	-1.016284	-1.017200	-0.730278	-0.145237	0.111483	0.767051	3.914012	-2.457336	0.286888	-0.761100	0.146961	0.160608	0.133137	0.128284	147.158782	1.661510	-0.463068	-0.134575	0.169507	-0.043592	-49384.141066	-49995.852327	-49998.236319	2249.262276	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2464.832432	-49384.859274	49992.905035	1019.338432	49995.619805	-49115.446240	0.679951
4.000000	23	44.415113	52.018799	-54.033021	29.646443	-53.880428	-0.149114	-26.871548	-0.593413	-0.659273	-0.753208	-0.954558	-1.129834	-0.984240	-1.027912	-0.719624	-0.145237	0.119802	0.771202	3.863528	-2.509879	0.286888	-0.761100	0.146961	0.158169	0.132304	0.127437	147.150139	1.663144	-0.459737	-0.136241	0.172016	-0.042763	-49384.141066	-49995.852327	-49998.236319	2244.741028	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2467.883978	-49384.859274	49992.905035	1025.366763	49995.619805	-49115.446240	0.679951
5.000000	23	44.355602	52.024140	-54.017762	29.662465	-53.895688	-0.182250	-26.886807	-0.524814	-0.637950	-0.796159	-0.965285	-1.129834	-0.984240	-1.038624	-0.708970	-0.141133	0.119802	0.771202	3.863528	-2.536150	0.284789	-0.760253	0.148635	0.158982	0.132304	0.128284	147.167425	1.663144	-0.463901	-0.135408	0.166997	-0.042763	-49384.141066	-49995.852327	-49998.236319	2246.248111	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2466.358205	-49384.859274	49992.905035	1019.338432	49995.619805	-49115.446240	0.679951
6.000000	23	44.415113	52.018799	-54.048280	29.646443	-53.880428	-0.149114	-26.879177	-0.490514	-0.637950	-0.753208	-0.965285	-1.140589	-0.994921	-1.027912	-0.708970	-0.141133	0.119802	0.775352	3.888770	-2.536150	0.280589	-0.761100	0.147798	0.159795	0.132304	0.129131	147.158782	1.661510	-0.462235	-0.133742	0.168670	-0.043592	-49384.141066	-49995.852327	-49998.236319	2246.248111	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2466.358205	-49384.859274	49992.905035	1016.324266	49995.619805	-49115.446240	0.679951
7.000000	23	44.375439	52.024140	-54.033021	29.651784	-53.880428	-0.165682	-26.886807	-0.593413	-0.616626	-0.774683	-0.976013	-1.151343	-0.994921	-1.006488	-0.687662	-0.145237	0.128121	0.779503	3.838285	-2.483608	0.280589	-0.762794	0.149472	0.159795	0.132304	0.129978	147.150139	1.663144	-0.461402	-0.134575	0.168670	-0.043592	-49384.141066	-49995.852327	-49998.236319	2244.741028	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2467.883978	-49384.859274	49992.905035	1019.338432	49995.619805	-49115.446240	0.679951
8.000000	23	44.355602	52.024140	-54.048280	29.651784	-53.865169	-0.149114	-26.879177	-0.593413	-0.616626	-0.817635	-0.986740	-1.129834	-1.026966	-1.017200	-0.730278	-0.137028	0.111483	0.771202	3.838285	-2.509879	0.280589	-0.761947	0.148635	0.158982	0.130638	0.128284	147.167425	1.663144	-0.462235	-0.132910	0.169507	-0.044421	-49384.141066	-49995.852327	-49998.236319	2246.248111	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2469.409751	-49384.859274	49992.905035	1020.845515	49995.619805	-49115.446240	0.679951
9.000000	23	44.355602	52.029481	-54.078799	29.646443	-53.895688	-0.165682	-26.879177	-0.593413	-0.637950	-0.753208	-0.965285	-1.129834	-1.005603	-0.995776	-0.730278	-0.141133	0.128121	0.779503	3.888770	-2.536150	0.282689	-0.759406	0.146961	0.158982	0.130638	0.128284	147.167425	1.663144	-0.464734	-0.136241	0.170343	-0.042763	-49384.141066	-49995.852327	-49998.236319	2247.755193	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2466.358205	-49384.859274	49992.905035	1023.859681	49995.619805	-49115.446240	0.679951
10.000000	23	44.375439	52.034822	-54.033021	29.651784	-53.880428	-0.165682	-26.879177	-0.627713	-0.659273	-0.753208	-0.976013	-1.119079	-0.994921	-0.974352	-0.719624	-0.145237	0.119802	0.771202	3.838285	-2.483608	0.280589	-0.763640	0.147798	0.160608	0.132304	0.128284	147.167425	1.665595	-0.463068	-0.136241	0.170343	-0.042763	-49384.141066	-49995.852327	-49998.236319	2243.233945	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2464.832432	-49384.859274	49992.905035	1017.831349	49995.619805	-49115.446240	0.679951
11.000000	23	44.375439	52.024140	-53.987243	29.651784	-53.849910	-0.165682	-26.863918	-0.559113	-0.659273	-0.753208	-0.954558	-1.140589	-0.994921	-0.995776	-0.719624	-0.145237	0.132281	0.779503	3.863528	-2.431065	0.276390	-0.761947	0.146961	0.161421	0.133137	0.127437	147.158782	1.662327	-0.461402	-0.137074	0.168670	-0.043592	-49384.141066	-49995.852327	-49998.236319	2249.262276	-49997.181400	49993.757319	49382.136475	49993.247737	-49384.647344	2463.306659	-49384.859274	49992.905035	1019.338432	49995.619805	-49115.446240	0.679951
