Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun025.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Red actuator	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	56	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	25	59.273049	55.719932	-53.773614	29.785302	-53.971984	0.248523	-25.666066	-0.113216	-0.275454	-0.452545	-0.654195	-0.699645	-0.503573	-0.460177	-0.069730	0.753701	1.326107	4.415356	7.599413	-5.137004	0.423367	-1.729094	-0.340067	0.223210	0.153966	0.116427	151.575274	12.386830	-0.453907	-0.294482	0.172853	-0.035300	-49384.141066	-49995.852327	49993.289454	2374.350153	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2451.100476	49381.815637	-49998.620738	992.210941	49995.619805	-49115.446240	0.679951
1.000000	25	59.193701	55.725272	-53.743095	29.785302	-53.926206	0.231955	-25.650807	-0.147516	-0.296777	-0.431069	-0.643468	-0.699645	-0.535618	-0.428041	-0.080384	0.749596	1.334426	4.402904	7.574171	-5.058190	0.421267	-1.730787	-0.337556	0.221584	0.153966	0.118968	151.592560	12.386013	-0.454739	-0.292817	0.172853	-0.036959	-49384.141066	-49995.852327	49993.289454	2378.871402	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2446.523158	49381.815637	-49998.620738	986.182609	49995.619805	-49115.446240	0.679951
2.000000	25	59.213538	55.725272	-53.773614	29.801325	-53.956725	0.248523	-25.666066	-0.147516	-0.318100	-0.452545	-0.632740	-0.688890	-0.524936	-0.449465	-0.048422	0.737282	1.326107	4.419507	7.574171	-5.058190	0.421267	-1.728247	-0.336719	0.222397	0.154799	0.116427	151.592560	12.385196	-0.457238	-0.292817	0.172016	-0.037788	-49384.141066	-49995.852327	49993.289454	2375.857236	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2454.152022	49381.815637	-49998.620738	987.689692	49995.619805	-49115.446240	0.679951
3.000000	25	59.154027	55.719932	-53.773614	29.801325	-53.941465	0.231955	-25.666066	-0.181816	-0.254131	-0.452545	-0.654195	-0.721155	-0.503573	-0.438753	-0.048422	0.753701	1.330267	4.415356	7.548928	-5.084461	0.421267	-1.728247	-0.340067	0.223210	0.153966	0.115580	151.592560	12.386013	-0.458071	-0.296148	0.172016	-0.036959	-49384.141066	-49995.852327	49993.289454	2372.843070	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2443.471612	49381.815637	-49998.620738	986.182609	49995.619805	-49115.446240	0.679951
4.000000	25	59.173864	55.709250	-53.804132	29.801325	-53.941465	0.215387	-25.696585	-0.216116	-0.254131	-0.452545	-0.664922	-0.710400	-0.535618	-0.460177	-0.048422	0.753701	1.334426	4.419507	7.599413	-5.084461	0.421267	-1.729094	-0.336719	0.224023	0.154799	0.118121	151.592560	12.383562	-0.458071	-0.294482	0.172016	-0.036130	-49384.141066	-49995.852327	49993.289454	2375.857236	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2448.048930	49381.815637	-49998.620738	989.196775	49995.619805	-49115.446240	0.679951
5.000000	25	59.193701	55.725272	-53.773614	29.779962	-53.956725	0.231955	-25.681326	-0.147516	-0.318100	-0.474021	-0.654195	-0.710400	-0.514255	-0.428041	-0.069730	0.753701	1.321947	4.411205	7.574171	-5.084461	0.423367	-1.729940	-0.340903	0.222397	0.153966	0.118121	151.592560	12.385196	-0.456405	-0.292817	0.172016	-0.036130	-49384.141066	-49995.852327	49993.289454	2372.843070	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2451.100476	49381.815637	-49998.620738	989.196775	49995.619805	-49115.446240	0.679951
6.000000	25	59.233375	55.730613	-53.743095	29.785302	-53.971984	0.231955	-25.681326	-0.181816	-0.296777	-0.474021	-0.643468	-0.721155	-0.546299	-0.460177	-0.048422	0.745491	1.326107	4.415356	7.599413	-5.084461	0.421267	-1.729940	-0.339230	0.222397	0.153966	0.118121	151.592560	12.385196	-0.458071	-0.293650	0.172016	-0.036130	-49384.141066	-49995.852327	49993.289454	2375.857236	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2452.626249	49381.815637	-49998.620738	989.196775	49995.619805	-49115.446240	0.679951
7.000000	25	59.213538	55.735954	-53.758354	29.795984	-53.971984	0.231955	-25.673696	-0.147516	-0.318100	-0.474021	-0.654195	-0.731909	-0.514255	-0.438753	-0.059076	0.737282	1.330267	4.402904	7.599413	-5.058190	0.423367	-1.732481	-0.339230	0.224023	0.153133	0.118121	151.609846	12.384379	-0.458071	-0.291151	0.174526	-0.038617	-49384.141066	-49995.852327	49993.289454	2375.857236	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2449.574703	49381.815637	-49998.620738	992.210941	49995.619805	-49115.446240	0.679951
8.000000	25	59.213538	55.719932	-53.804132	29.801325	-53.956725	0.265091	-25.681326	-0.147516	-0.275454	-0.409594	-0.643468	-0.699645	-0.524936	-0.449465	-0.048422	0.753701	1.330267	4.411205	7.574171	-5.084461	0.423367	-1.730787	-0.338393	0.223210	0.153133	0.118121	151.609846	12.385196	-0.456405	-0.290318	0.175362	-0.038617	-49384.141066	-49995.852327	49993.289454	2372.843070	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2454.152022	49381.815637	-49998.620738	987.689692	49995.619805	-49115.446240	0.679951
9.000000	25	59.233375	55.725272	-53.773614	29.801325	-53.926206	0.248523	-25.681326	-0.044617	-0.232807	-0.474021	-0.664922	-0.721155	-0.535618	-0.428041	-0.048422	0.741386	1.338586	4.411205	7.548928	-5.031919	0.421267	-1.731634	-0.337556	0.223210	0.151467	0.117274	151.601203	12.386013	-0.456405	-0.291984	0.174526	-0.036959	-49384.141066	-49995.852327	49993.289454	2374.350153	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2449.574703	49381.815637	-49998.620738	987.689692	49995.619805	-49115.446240	0.679951
10.000000	25	59.154027	55.719932	-53.773614	29.795984	-53.971984	0.231955	-25.681326	-0.181816	-0.275454	-0.409594	-0.654195	-0.721155	-0.514255	-0.428041	-0.059076	0.741386	1.330267	4.415356	7.599413	-5.110733	0.423367	-1.731634	-0.337556	0.223210	0.151467	0.117274	151.627131	12.383562	-0.454739	-0.292817	0.175362	-0.034471	-49384.141066	-49995.852327	49993.289454	2372.843070	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2452.626249	49381.815637	-49998.620738	987.689692	49995.619805	-49115.446240	0.679951
11.000000	25	59.173864	55.719932	-53.819391	29.790643	-53.941465	0.215387	-25.681326	-0.181816	-0.296777	-0.388118	-0.664922	-0.721155	-0.546299	-0.428041	-0.091038	0.737282	1.330267	4.411205	7.574171	-5.110733	0.419168	-1.729940	-0.337556	0.224023	0.153133	0.116427	151.592560	12.388464	-0.457238	-0.291151	0.170343	-0.036959	-49384.141066	-49995.852327	49993.289454	2374.350153	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2448.048930	49381.815637	-49998.620738	990.703858	49995.619805	-49115.446240	0.679951
12.000000	25	59.213538	55.725272	-53.773614	29.790643	-53.956725	0.198818	-25.704215	-0.113216	-0.296777	-0.431069	-0.664922	-0.721155	-0.535618	-0.438753	-0.069730	0.745491	1.326107	4.415356	7.574171	-5.031919	0.423367	-1.730787	-0.340067	0.222397	0.156466	0.116427	151.601203	12.386830	-0.458904	-0.294482	0.173689	-0.034471	-49384.141066	-49995.852327	49993.289454	2369.828905	-49997.181400	49993.757319	49382.136475	-49998.278036	-49384.647344	2449.574703	49381.815637	-49998.620738	987.689692	49995.619805	-49115.446240	0.679951
