Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun008.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Disp	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	mm	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	1	2	3	4	5	6	7	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	8	-0.648518	8.490249	46.742149	-54.002503	28.562273	-53.926206	0.033136	0.034300	0.106616	0.107379	-0.064364	-0.064528	-0.021363	-0.096408	-0.095886	-0.012314	-0.016639	0.008301	0.631062	0.078814	0.002100	-0.005081	-0.019247	-0.040651	-0.024162	0.002541	0.029411	0.076622	0.143250	0.073613	0.026534	69.040263	98.957670	78.663717	-14.028843	6.734818	27.353641	38.948648	21.244572	-6.449276	-59.758468	-2.964155	-68.019091	-84.314252	-53.220302	4.622520	0.000000
1.000000	8	-0.679037	8.549760	46.726127	-54.002503	28.572954	-53.910947	0.049705	0.034300	0.085293	0.107379	-0.053636	-0.064528	0.000000	-0.096408	-0.095886	-0.024628	-0.004160	0.012452	0.605819	0.052542	0.002100	-0.007622	-0.020920	-0.040651	-0.024162	0.002541	0.029411	0.077455	0.143250	0.072777	0.026534	67.533180	98.957670	74.086398	-18.550091	6.734818	27.353641	35.934483	15.141481	-15.491773	-59.758468	-4.471238	-71.070637	-78.285921	-51.694529	7.620285	0.000000
2.000000	8	-0.640889	8.549760	46.731468	-54.017762	28.567614	-53.910947	0.066273	0.000000	0.042647	0.064428	-0.042909	-0.086038	-0.021363	-0.096408	-0.106540	-0.020524	0.000000	0.008301	0.631062	0.026271	-0.004199	-0.005928	-0.020920	-0.039838	-0.024995	0.001694	0.028594	0.074124	0.140752	0.072777	0.029022	73.561511	102.009215	75.612171	-15.535926	3.683272	22.776323	35.934483	12.089935	-10.970525	-58.232695	-8.992486	-74.122182	-81.300086	-53.220302	9.119168	0.000000
3.000000	8	-0.640889	8.529923	46.731468	-54.017762	28.562273	-53.910947	0.066273	0.000000	0.085293	0.107379	-0.042909	-0.053774	0.000000	-0.074984	-0.117194	-0.016419	0.000000	0.024903	0.605819	0.026271	0.004199	-0.006775	-0.020920	-0.039838	-0.024995	0.002541	0.029411	0.074957	0.144916	0.074450	0.028192	66.026097	103.534988	74.086398	-17.043008	9.786364	27.353641	32.920317	15.141481	-12.477608	-62.810013	-2.964155	-66.493318	-73.764672	-47.117210	6.121402	0.000000
4.000000	8	-0.640889	8.549760	46.742149	-54.002503	28.556932	-53.926206	0.049705	0.068600	0.106616	0.171807	-0.032182	-0.096793	-0.010681	-0.096408	-0.117194	-0.020524	0.000000	0.016602	0.580577	-0.052542	0.002100	-0.006775	-0.020920	-0.039025	-0.024162	0.002541	0.027777	0.071625	0.143250	0.071940	0.028192	67.533180	103.534988	72.560625	-15.535926	6.734818	24.302096	35.934483	18.193026	-9.463442	-58.232695	-7.485404	-74.122182	-79.793003	-51.694529	7.620285	0.000000
5.000000	8	-0.648518	8.549760	46.731468	-54.033021	28.562273	-53.926206	0.115977	0.000000	0.127940	0.085904	-0.053636	-0.086038	0.000000	-0.085696	-0.095886	-0.028733	-0.008319	0.012452	0.580577	0.026271	-0.002100	-0.005928	-0.020920	-0.039838	-0.023328	0.001694	0.029411	0.074124	0.140752	0.073613	0.028192	67.533180	102.009215	74.086398	-17.043008	11.312136	22.776323	34.427400	9.038389	-10.970525	-55.181149	-8.992486	-64.967545	-79.793003	-51.694529	4.622520	0.000000
6.000000	8	-0.633259	8.529923	46.736808	-54.033021	28.556932	-53.956725	0.033136	0.034300	0.063970	0.085904	-0.053636	-0.064528	0.000000	-0.074984	-0.117194	-0.028733	0.000000	0.004151	0.631062	0.026271	0.002100	-0.005081	-0.021757	-0.042277	-0.025828	0.001694	0.030228	0.073291	0.143250	0.070267	0.029022	66.026097	105.060761	75.612171	-21.564257	9.786364	28.879414	37.441565	16.667253	-15.491773	-59.758468	-7.485404	-72.596409	-81.300086	-54.746075	6.121402	0.000000
7.000000	8	-0.633259	8.529923	46.736808	-54.017762	28.556932	-53.956725	0.082841	0.137199	0.063970	0.128855	-0.053636	-0.086038	-0.010681	-0.107120	-0.095886	-0.020524	-0.004160	0.016602	0.631062	0.052542	0.002100	-0.007622	-0.021757	-0.039025	-0.024995	0.002541	0.030228	0.074124	0.142417	0.071940	0.027363	69.040263	102.009215	71.034853	-23.071340	8.260591	25.827868	32.920317	12.089935	-12.477608	-55.181149	-5.978321	-66.493318	-72.257589	-54.746075	6.121402	0.000000
