Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun000.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Disp	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	mm	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	1	2	3	4	5	6	7	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	0	-28.382214	0.198370	47.730186	-54.094058	27.713095	-53.956725	0.033136	0.068600	0.000000	0.042952	-0.032182	0.021509	-0.010681	0.000000	-0.010654	0.008209	-0.008319	-0.008301	-0.050485	0.000000	-0.006299	0.002541	0.000837	0.000000	-0.000833	-0.000847	-0.000817	0.003331	0.000833	0.003346	0.000829	0.164807	-3.871093	-0.831432	-0.223730	-1.773141	-3.707171	0.850656	-4.815746	-2.631523	-0.524506	1.301011	-6.329584	-0.400344	-3.242294	7.198713	0.000000
1.000000	0	-28.397473	0.238044	47.724845	-54.063540	27.707755	-53.971984	0.016568	0.102899	-0.042647	0.042952	-0.042909	0.021509	-0.021363	0.000000	0.000000	0.012314	-0.012479	-0.008301	-0.025242	0.000000	-0.002100	0.000847	0.001674	-0.000813	0.001666	-0.000847	-0.000817	0.000833	0.000000	0.002510	0.000829	0.164807	3.757772	-0.831432	-3.237896	-6.350459	0.870148	-3.670593	1.287345	1.889725	-2.050279	-1.713155	-3.278038	-3.414510	2.860797	2.702064	0.000000
2.000000	0	-28.374584	0.178533	47.735527	-54.078799	27.707755	-53.941465	0.000000	0.102899	-0.021323	0.000000	-0.053636	-0.010755	-0.032044	-0.010712	0.010654	-0.004105	-0.016639	-0.004151	-0.050485	0.000000	-0.004199	0.001694	0.000837	0.000000	0.000833	-0.001694	-0.000817	0.000833	-0.000833	0.000837	0.000829	0.164807	-5.396866	-0.831432	-1.730813	-0.247368	-3.707171	-2.163510	-4.815746	0.382642	-3.576052	-0.206072	-4.803811	1.106738	1.335024	2.702064	0.000000
3.000000	0	-28.389843	0.218207	47.735527	-54.094058	27.707755	-53.956725	0.033136	0.102899	0.000000	0.000000	-0.021455	-0.010755	-0.042726	0.000000	0.010654	-0.004105	-0.016639	-0.004151	-0.025242	0.000000	-0.002100	0.000847	0.000837	0.001626	0.000833	0.000000	-0.001634	0.000000	-0.004164	0.000000	0.001658	1.671890	-5.396866	-6.934523	-0.223730	-4.824686	-5.232944	2.357739	-1.764201	0.382642	-2.050279	-1.713155	-9.381130	1.106738	1.335024	1.203181	0.000000
4.000000	0	-28.389843	0.218207	47.730186	-54.063540	27.718436	-53.941465	0.000000	0.137199	0.000000	0.042952	-0.021455	0.000000	-0.021363	0.000000	-0.021308	0.008209	-0.016639	-0.008301	-0.025242	-0.052542	-0.002100	0.001694	-0.000837	0.001626	0.002499	0.001694	-0.000817	0.000000	-0.005830	0.000000	0.000000	1.671890	2.231999	-3.882978	2.790435	2.804178	3.921693	0.850656	-1.764201	0.382642	-2.050279	-0.206072	-3.278038	-4.921593	-1.716522	5.699830	0.000000
5.000000	0	-28.397473	0.238044	47.724845	-54.078799	27.713095	-53.956725	0.033136	0.034300	-0.021323	0.000000	-0.064364	0.010755	-0.042726	-0.032136	0.010654	-0.004105	-0.012479	-0.008301	-0.025242	-0.052542	-0.004199	0.003388	-0.000837	0.000813	0.000833	0.000847	-0.000817	0.003331	-0.004164	0.002510	0.001658	0.164807	-0.819547	-6.934523	-3.237896	-4.824686	5.447466	-2.163510	-1.764201	-4.138606	-3.576052	-3.220238	-4.803811	-4.921593	2.860797	2.702064	0.000000
6.000000	0	-28.389843	0.218207	47.724845	-54.063540	27.707755	-53.941465	0.000000	0.034300	-0.021323	0.042952	-0.021455	-0.010755	-0.010681	-0.010712	0.010654	-0.004105	0.000000	-0.016602	0.000000	-0.052542	-0.002100	0.002541	-0.000837	0.001626	0.001666	0.000847	0.000000	0.000833	-0.003331	0.003346	0.000829	3.178973	0.706226	-0.831432	1.283353	-1.773141	2.395920	3.864821	-1.764201	0.382642	1.001267	-1.713155	-6.329584	-3.414510	1.335024	-0.295701	0.000000
7.000000	0	-28.382214	0.218207	47.724845	-54.063540	27.713095	-53.971984	0.016568	0.068600	-0.085293	0.021476	-0.010727	-0.021509	-0.021363	-0.042848	0.010654	0.000000	-0.008319	-0.008301	-0.050485	-0.026271	0.002100	0.002541	0.002510	0.000813	0.001666	0.000000	0.000817	0.001666	-0.002499	0.004183	0.000829	1.671890	2.231999	-0.831432	-4.744979	2.804178	-0.655625	3.864821	-3.289974	-1.124441	1.001267	-4.727321	-6.329584	-0.400344	2.860797	-0.295701	0.000000
