Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun017.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	17	8.311716	46.127964	-54.139836	29.448836	-53.971984	0.132546	-27.542955	0.023983	0.257628	0.213207	0.043077	0.010167	-0.001544	-0.106681	-0.133654	-0.054933	-0.029946	-0.038149	1.339281	-0.381908	0.093718	0.013803	-0.022913	-0.043458	-0.028495	-0.025850	0.322479	0.073288	0.155257	0.477343	0.128050	3384.858024	292.096067	85.258508	3769.908877	-49997.181400	53.685143	2513.366764	36.392059	-84.952987	1958.275836	-18.853272	95.554499	1227.315866	-249.606948	53.907060	0.679951
1.000000	17	8.272042	46.117283	-54.094058	29.443495	-53.956725	0.132546	-27.535325	-0.010317	0.257628	0.213207	0.043077	-0.022098	-0.001544	-0.128105	-0.112346	-0.054933	-0.034106	-0.050601	1.339281	-0.355637	0.095818	0.013803	-0.021239	-0.042645	-0.028495	-0.022462	0.324113	0.073288	0.155257	0.478180	0.128879	3381.843858	290.570294	89.835827	3765.387628	-49997.181400	52.159370	2510.352598	31.814740	-84.952987	1956.750063	-26.388686	97.080272	1228.822949	-252.658494	56.904826	0.679951
2.000000	17	8.291879	46.122623	-54.139836	29.454176	-53.941465	0.132546	-27.520066	0.058282	0.214982	0.191731	0.021622	-0.011343	-0.001544	-0.128105	-0.144308	-0.050828	-0.038266	-0.054751	1.314038	-0.355637	0.095818	0.015497	-0.021239	-0.041832	-0.026829	-0.022462	0.325747	0.072455	0.152758	0.479016	0.129708	3380.336775	287.518748	85.258508	3769.908877	-49997.181400	52.159370	2516.380929	33.340513	-87.967153	1958.275836	-23.374520	97.080272	1228.822949	-255.710039	56.904826	0.679951
3.000000	17	8.252205	46.127964	-54.124577	29.454176	-53.971984	0.149114	-27.520066	0.023983	0.214982	0.234683	0.021622	-0.000588	0.030501	-0.117393	-0.133654	-0.054933	-0.034106	-0.042300	1.339281	-0.381908	0.097918	0.012956	-0.021239	-0.042645	-0.028495	-0.020769	0.323296	0.072455	0.152758	0.480689	0.129708	3383.350941	292.096067	85.258508	3766.894711	-49997.181400	46.056279	2511.859681	31.814740	-90.981319	1955.224290	-20.360355	98.606045	1228.822949	-254.184266	52.408177	0.679951
4.000000	17	9.402753	46.127964	-54.216132	29.448836	-54.033021	0.182250	-27.397992	-0.010317	0.214982	0.234683	0.043077	-0.000588	0.019819	-0.095969	-0.112346	-0.054933	-0.038266	-0.046450	1.314038	-0.329365	0.095818	0.013803	-0.021239	-0.041832	-0.026829	-0.022462	0.323296	0.074120	0.151092	0.481526	0.129708	3399.928852	299.724931	95.938918	3777.444291	-49997.181400	46.056279	2507.338432	27.237421	-87.967153	1952.172744	-30.909935	89.451408	1215.259203	-255.710039	64.399240	0.679951
5.000000	17	10.553301	46.122623	-54.200873	29.464858	-54.017762	0.314796	-27.214881	0.229781	0.364245	0.320586	0.128895	0.074695	0.083908	-0.063833	-0.112346	-0.050828	-0.042425	-0.038149	1.566463	-0.119195	0.095818	0.016344	-0.021239	-0.041019	-0.026829	-0.020769	0.323296	0.076619	0.154424	0.479016	0.128879	3421.028012	319.559978	103.567783	3795.529286	-49997.181400	36.901641	2501.310101	15.031238	-100.023816	1935.389242	-38.445349	78.770997	1203.202540	-263.338904	83.884717	0.679951
6.000000	17	11.287271	46.133305	-54.216132	29.459517	-53.956725	0.463909	-27.024140	0.366980	0.492184	0.449441	0.214713	0.117714	0.083908	-0.031697	-0.112346	-0.034409	-0.025787	-0.038149	1.692675	0.090975	0.097918	0.014650	-0.023750	-0.027198	-0.027662	-0.019922	0.324930	0.076619	0.156922	0.481526	0.128879	3448.155504	330.240389	114.248193	3816.628446	-49997.181400	30.798550	2489.253438	5.876601	-107.559230	1923.183059	-42.966597	60.461723	1192.652960	-269.441995	95.875780	0.679951
7.000000	17	11.941893	46.143986	-54.170354	29.464858	-53.971984	0.712432	-26.841029	0.401280	0.556154	0.556821	0.268349	0.171487	0.158678	-0.010273	-0.080384	-0.026200	-0.021627	-0.025697	1.945100	0.379958	0.095818	0.021425	-0.022913	-0.026385	-0.027662	-0.020769	0.323296	0.074953	0.154424	0.479016	0.128879	3467.747581	343.972344	131.031695	3825.670943	-49997.181400	24.695458	2481.718024	2.825055	-113.587562	1914.028422	-55.023260	40.626675	1182.103380	-278.596633	106.367960	0.679951
8.000000	17	12.497330	46.165349	-54.185614	29.464858	-53.956725	0.828410	-26.657918	0.607078	0.662771	0.578297	0.354167	0.225261	0.180041	0.021863	-0.059076	-0.026200	-0.021627	-0.009095	2.197525	0.537586	0.095818	0.021425	-0.021239	-0.024759	-0.027662	-0.019922	0.326564	0.074953	0.153591	0.480689	0.128879	3488.846741	356.178528	137.134786	3849.784268	-49997.181400	12.489275	2475.689692	-4.803809	-125.644224	1907.925330	-58.037426	25.368947	1173.060883	-283.173951	119.857906	0.679951
9.000000	17	12.953581	46.160009	-54.155095	29.464858	-54.017762	0.960955	-26.459548	0.675678	0.748064	0.750104	0.407803	0.289789	0.201404	0.064711	-0.027114	-0.017990	-0.009148	-0.013246	2.323737	0.774027	0.093718	0.022272	-0.022076	-0.025572	-0.028495	-0.019922	0.323296	0.074120	0.154424	0.481526	0.128879	3508.438818	371.436256	143.237878	3866.362180	-49997.181400	10.963502	2459.111781	-10.906901	-133.179639	1892.667602	-68.587006	16.214309	1165.525469	-287.751270	122.855672	0.679951
10.000000	17	13.628040	46.165349	-54.155095	29.459517	-53.971984	1.143205	-26.268807	0.881476	0.854680	0.836007	0.493621	0.354318	0.265493	0.086135	-0.005806	-0.009781	-0.004988	-0.009095	2.626647	0.879112	0.087419	0.023966	-0.022076	-0.020694	-0.027662	-0.019922	0.323296	0.041639	0.156089	0.479853	0.130537	3523.509647	383.642439	152.392515	3881.433008	-49997.181400	1.808865	2451.576367	-21.587311	-139.207970	1885.038737	-76.122420	8.585445	1154.975889	-293.854361	124.354555	0.679951
