Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun015.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	15	8.252205	46.127964	-53.819391	29.352702	-53.941465	0.099409	-27.542955	-0.010317	0.108365	0.191731	0.010895	-0.065116	-0.012225	-0.160241	-0.133654	-0.050828	-0.021627	-0.013246	1.112098	-0.303094	0.032828	-0.000594	-0.023750	-0.036954	-0.023496	-0.017381	0.288983	0.066625	0.154424	0.471488	0.118099	173.264460	202.075467	95.938918	97.147959	-49997.181400	62.839780	56.821710	71.484835	16.021564	-78.630961	2.245888	-66.177426	-100.424129	-60.411111	-3.050488	0.679951
1.000000	15	8.232368	46.122623	-53.834651	29.352702	-53.910947	0.099409	-27.542955	-0.010317	0.108365	0.170255	0.000168	-0.065116	0.009138	-0.170953	-0.123000	-0.046723	-0.017467	-0.009095	1.036371	-0.329365	0.037027	0.000253	-0.020402	-0.039393	-0.023496	-0.019922	0.286532	0.066625	0.154424	0.473997	0.117270	171.757377	205.127012	94.413145	92.626711	-49997.181400	62.839780	56.821710	62.330198	17.528647	-84.734052	-6.796609	-64.651653	-101.931212	-60.411111	4.443926	0.679951
2.000000	15	8.272042	46.127964	-53.834651	29.352702	-53.941465	0.082841	-27.535325	-0.010317	0.151012	0.170255	0.000168	-0.075871	-0.012225	-0.149529	-0.112346	-0.042619	-0.017467	-0.013246	1.112098	-0.250552	0.028629	0.000253	-0.022913	-0.036954	-0.025995	-0.018228	0.289800	0.064959	0.153591	0.470651	0.118099	173.264460	199.023921	100.516237	95.640876	-49997.181400	64.365553	56.821710	65.381743	8.486150	-83.208280	-3.782443	-66.177426	-101.931212	-61.936883	-3.050488	0.679951
3.000000	15	8.192694	46.122623	-53.834651	29.342021	-53.910947	0.082841	-27.520066	-0.078917	0.151012	0.170255	0.010895	-0.054362	-0.001544	-0.160241	-0.101692	-0.050828	-0.025787	-0.021547	1.061613	-0.250552	0.032828	-0.002288	-0.023750	-0.038580	-0.024329	-0.017381	0.287349	0.064959	0.151925	0.468978	0.118929	176.278625	202.075467	92.887373	94.133793	-49997.181400	61.314007	52.300461	68.433289	8.486150	-81.682507	-6.796609	-63.125880	-103.438295	-60.411111	-1.551606	0.679951
4.000000	15	8.212531	46.127964	-53.865169	29.347362	-53.956725	0.082841	-27.558214	-0.044617	0.151012	0.191731	0.021622	-0.097381	-0.001544	-0.160241	-0.123000	-0.042619	-0.021627	-0.017396	1.011128	-0.276823	0.032828	0.001100	-0.023750	-0.037767	-0.026829	-0.019075	0.285715	0.063293	0.153591	0.468978	0.118099	171.757377	202.075467	94.413145	95.640876	-49997.181400	64.365553	58.328793	68.433289	14.514481	-83.208280	-0.768277	-66.177426	-101.931212	-54.308019	-1.551606	0.679951
5.000000	15	8.212531	46.122623	-53.849910	29.342021	-53.956725	0.066273	-27.558214	0.023983	0.172335	0.170255	0.021622	-0.054362	-0.012225	-0.160241	-0.133654	-0.034409	-0.017467	-0.017396	1.036371	-0.224280	0.037027	-0.000594	-0.022913	-0.039393	-0.021830	-0.019075	0.286532	0.063293	0.153591	0.468978	0.118929	177.785708	205.127012	97.464691	95.640876	-49997.181400	64.365553	56.821710	73.010608	13.007398	-81.682507	-0.768277	-64.651653	-101.931212	-58.885338	-0.052723	0.679951
6.000000	15	8.192694	46.133305	-53.849910	29.347362	-53.926206	0.066273	-27.535325	-0.044617	0.108365	0.213207	0.010895	-0.043607	0.019819	-0.128105	-0.123000	-0.054933	-0.017467	-0.013246	1.036371	-0.276823	0.032828	-0.000594	-0.022076	-0.038580	-0.025162	-0.018228	0.287349	0.064126	0.153591	0.468978	0.118929	170.250294	206.652785	95.938918	95.640876	-49997.181400	70.468645	56.821710	59.278652	14.514481	-77.105188	-3.782443	-66.177426	-101.931212	-55.833792	-3.050488	0.679951
7.000000	15	8.232368	46.117283	-53.849910	29.342021	-53.956725	0.066273	-27.542955	-0.010317	0.129689	0.191731	0.021622	-0.054362	-0.001544	-0.149529	-0.154962	-0.042619	-0.017467	-0.009095	1.086856	-0.224280	0.028629	0.000253	-0.021239	-0.039393	-0.025162	-0.019075	0.285715	0.060795	0.153591	0.468978	0.118929	176.278625	203.601239	97.464691	94.133793	-49997.181400	62.839780	52.300461	65.381743	14.514481	-77.105188	2.245888	-66.177426	-101.931212	-55.833792	-1.551606	0.679951
8.000000	15	8.172857	46.117283	-53.865169	29.347362	-53.941465	0.115977	-27.550584	-0.010317	0.108365	0.191731	0.000168	-0.065116	0.009138	-0.138817	-0.133654	-0.046723	-0.017467	-0.017396	1.061613	-0.250552	0.034928	0.001100	-0.022913	-0.039393	-0.025162	-0.019922	0.287349	0.061628	0.155257	0.468142	0.117270	176.278625	199.023921	94.413145	92.626711	-49997.181400	64.365553	59.835876	63.855971	13.007398	-81.682507	2.245888	-67.703199	-101.931212	-66.514202	-3.050488	0.679951
9.000000	15	8.510086	46.138646	-53.865169	29.336680	-53.971984	0.115977	-27.520066	0.023983	0.129689	0.213207	-0.010560	-0.054362	0.009138	-0.138817	-0.133654	-0.042619	-0.017467	-0.013246	1.061613	-0.250552	0.032828	0.001947	-0.022913	-0.039393	-0.025162	-0.019922	0.288166	0.063293	0.154424	0.468142	0.117270	174.771542	203.601239	94.413145	95.640876	-49997.181400	59.788234	56.821710	63.855971	9.993233	-78.630961	0.738805	-67.703199	-101.931212	-61.936883	4.443926	0.679951
10.000000	15	9.878842	46.127964	-53.910947	29.342021	-53.971984	0.215387	-27.336955	0.058282	0.236305	0.277634	0.043077	-0.011343	-0.001544	-0.138817	-0.123000	-0.034409	-0.025787	-0.017396	1.162583	-0.145467	0.039127	-0.000594	-0.023750	-0.040206	-0.025162	-0.019075	0.288166	0.064126	0.156089	0.468978	0.117270	186.828205	217.333195	109.670874	107.697539	-49997.181400	52.159370	47.779213	57.752879	8.486150	-92.362917	-14.332023	-75.332064	-110.973709	-64.988429	10.439457	0.679951
