Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun004.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Disp	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	mm	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	1	2	3	4	5	6	7	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	4	-0.633259	8.648946	47.126682	-53.956725	28.215125	-54.017762	0.033136	-0.034300	0.085293	0.128855	-0.032182	-0.021509	-0.010681	-0.085696	-0.127848	-0.036943	-0.012479	-0.004151	0.403880	0.157627	0.000000	-0.024560	0.006695	-0.046342	-0.020829	0.000000	-0.001634	0.069959	0.084118	-0.002510	-0.001658	37.391523	44.029846	58.828670	-6.493428	11.312136	-9.264908	-15.306335	-13.848204	-30.562602	-53.655376	-19.542066	-45.132498	-54.172595	-36.436800	28.604645	0.000000
1.000000	4	-0.633259	8.728294	47.116001	-53.971984	28.199103	-54.002503	0.016568	-0.034300	0.106616	0.107379	-0.032182	-0.032264	0.000000	-0.085696	-0.117194	-0.024628	-0.012479	0.004151	0.353395	0.157627	0.000000	-0.025407	0.005858	-0.047968	-0.021662	-0.000847	-0.001634	0.067461	0.080786	-0.004183	-0.002488	41.912771	40.978300	55.777124	-6.493428	12.837909	-7.739135	-16.813417	-21.477069	-21.520105	-52.129603	-25.570398	-46.658270	-61.708009	-36.436800	30.103528	0.000000
2.000000	4	-0.633259	8.668783	47.132023	-53.987243	28.199103	-53.987243	0.049705	0.034300	0.042647	0.064428	-0.010727	-0.053774	-0.021363	-0.085696	-0.117194	-0.036943	-0.012479	0.000000	0.353395	0.078814	0.002100	-0.026254	0.005858	-0.047155	-0.020829	-0.000847	0.000000	0.068294	0.081619	-0.002510	-0.003317	40.405688	36.400982	60.354442	-6.493428	17.415228	-7.739135	-21.334666	-15.373977	-23.027188	-52.129603	-19.542066	-51.235589	-63.215092	-34.911027	30.103528	0.000000
3.000000	4	2.334666	8.708457	47.126682	-53.971984	28.204443	-54.002503	0.000000	-0.034300	0.127940	0.107379	-0.010727	-0.053774	0.000000	-0.096408	-0.127848	-0.032838	-0.012479	0.012452	0.429122	0.131356	0.000000	-0.025407	0.004184	-0.047155	-0.021662	0.000000	0.000000	0.069127	0.082452	-0.002510	-0.000829	41.912771	39.452527	54.251351	-4.986346	17.415228	-7.739135	-22.841749	-19.951296	-24.534271	-50.603830	-19.542066	-49.709816	-58.693843	-39.488346	31.602411	0.000000
4.000000	4	-0.640889	8.629109	47.126682	-53.956725	28.204443	-54.002503	0.033136	-0.034300	0.063970	0.064428	-0.032182	-0.032264	-0.010681	-0.064272	-0.138502	-0.024628	-0.012479	0.000000	0.454364	0.157627	0.002100	-0.023713	0.005021	-0.047155	-0.021662	-0.000847	-0.000817	0.070792	0.079121	-0.002510	-0.004146	38.898606	39.452527	55.777124	-4.986346	11.312136	-7.739135	-22.841749	-15.373977	-26.041353	-49.078058	-22.556232	-48.184043	-66.229258	-37.962573	28.604645	0.000000
5.000000	4	-0.640889	8.668783	47.126682	-53.956725	28.199103	-53.971984	0.033136	-0.068600	0.127940	0.085904	-0.042909	-0.032264	-0.010681	-0.085696	-0.106540	-0.028733	-0.016639	-0.004151	0.454364	0.157627	0.000000	-0.024560	0.003347	-0.047155	-0.022495	0.000847	0.000000	0.069127	0.082452	0.000000	-0.001658	41.912771	44.029846	52.725578	-9.507594	17.415228	-7.739135	-21.334666	-15.373977	-18.505939	-46.026512	-27.077481	-51.235589	-63.215092	-34.911027	31.602411	0.000000
6.000000	4	-0.640889	8.688620	47.126682	-54.002503	28.204443	-53.956725	0.033136	-0.034300	0.106616	0.107379	-0.021455	-0.043019	0.010681	-0.107120	-0.138502	-0.028733	-0.016639	0.000000	0.353395	0.157627	0.000000	-0.026254	0.003347	-0.047968	-0.024162	0.000000	0.000817	0.068294	0.083285	0.000000	-0.003317	38.898606	45.555619	54.251351	-4.986346	17.415228	-4.687589	-24.348832	-23.002841	-23.027188	-47.552285	-18.034984	-51.235589	-60.200926	-36.436800	25.606880	0.000000
7.000000	4	-0.625629	8.629109	47.121342	-54.002503	28.199103	-53.941465	0.033136	-0.068600	0.106616	0.085904	-0.042909	-0.032264	-0.010681	-0.085696	-0.127848	-0.032838	-0.012479	-0.008301	0.403880	0.078814	0.004199	-0.025407	0.006695	-0.048781	-0.022495	0.000000	-0.000817	0.067461	0.081619	-0.000837	-0.000829	38.898606	45.555619	54.251351	-0.465097	14.363682	-10.790681	-21.334666	-18.425523	-27.548436	-56.706922	-21.049149	-45.132498	-58.693843	-34.911027	28.604645	0.000000
