Test Data Acquisition Report
Seconds To Fire Line:   0.000000                     
Serial Number: 000
Test Date: 000
Test Request Number: 000
Test Title: c:\users\admin\desktop\paul\kevinhaifengRun010.txt
Add Text Here
Add Text Here
Add Text Here
Add Text Here
Time	Run	Horizontal Force	East Disp	East Force	West Disp	West Force	SP1	Horizontal Disp	Pacific - 10 (0:2:1)	Pacific - 11 (0:2:2)	Pacific - 12 (0:2:3)	Pacific - 13 (0:2:4)	Pacific - 14 (0:2:5)	Pacific - 15 (0:2:6)	Pacific - 16 (0:2:7)	Pacific - 18 (0:4:0)	Pacific - 19 (0:4:1)	Pacific - 20 (0:4:2)	Pacific - 21 (0:4:3)	Pacific - 22 (0:4:4)	Pacific - 23 (0:4:5)	Pacific - 24 (0:4:6)	Pacific - 27 (0:6:0)	Pacific - 28 (0:6:1)	Pacific - 29 (0:6:2)	Pacific - 30 (0:6:3)	Pacific - 31 (0:6:4)	Pacific - 44 (0:8:0)	Pacific - 45 (0:8:1)	Pacific - 46 (0:8:2)	Pacific - 47 (0:8:3)	Pacific - 48 (0:8:4)	Pacific - 69 (0:11:0)	Pacific - 70 (0:11:1)	Pacific - 72 (0:11:3)	Pacific - 75 (0:11:6)	Pacific - 76 (0:11:7)	Pacific - 86 (0:13:1)	Pacific - 87 (0:13:2)	Pacific - 88 (0:13:3)	Pacific - 89 (0:13:4)	Pacific - 90 (0:13:5)	Pacific - 91 (0:13:6)	Pacific - 92 (0:13:7)	Pacific - 101 (0:15:0)	Pacific - 102 (0:15:1)	Pacific - 103 (0:15:2)	Pacific - 104 (0:15:3)
Sec	Num	kN	mm	kN	mm	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain	uStrain
 	 	2	3	4	5	6	7	8	18	19	20	21	22	23	24	34	35	36	37	38	39	40	51	52	53	54	55	68	69	70	71	72	93	94	96	99	100	110	111	112	113	114	115	116	125	126	127	128
0.000000	10	8.192694	46.592608	-53.880428	28.920103	-54.017762	0.033136	-27.375103	-0.113216	0.087042	0.105827	-0.085650	-0.065116	-0.033588	-0.085257	-0.208232	-0.026200	-0.009148	-0.021547	0.556764	-0.171738	-0.002867	-0.008216	-0.021239	-0.045084	-0.038493	-0.024156	0.160717	0.073288	0.116945	0.358559	0.053423	109.966980	133.415687	70.000779	-14.376172	-12.861810	49.107824	34.215467	44.020923	11.500315	-66.424778	0.738805	-70.754745	-82.339135	-55.833792	-9.046020	0.679951
1.000000	10	8.192694	46.581927	-53.880428	28.920103	-54.063540	0.049705	-27.375103	-0.078917	0.023072	0.105827	-0.085650	-0.054362	-0.001544	-0.085257	-0.218886	-0.034409	-0.009148	-0.013246	0.607249	-0.066653	-0.000767	-0.008216	-0.022913	-0.043458	-0.036826	-0.023309	0.161534	0.073288	0.116945	0.356049	0.053423	103.938648	130.364141	71.526552	-11.362006	-11.336037	47.582051	37.229633	44.020923	8.486150	-71.002097	0.738805	-70.754745	-82.339135	-58.885338	-9.046020	0.679951
2.000000	10	8.212531	46.592608	-53.849910	28.930784	-54.002503	0.066273	-27.375103	-0.044617	0.108365	0.084352	-0.074923	-0.054362	-0.033588	-0.095969	-0.218886	-0.026200	-0.013308	-0.017396	0.582006	-0.145467	-0.004966	-0.007369	-0.022913	-0.045084	-0.036826	-0.024156	0.162351	0.073288	0.116113	0.356049	0.053423	102.431565	128.838368	66.949234	-11.362006	-12.861810	44.530506	40.243798	40.969377	5.471984	-63.373232	2.245888	-75.332064	-80.832052	-55.833792	-9.046020	0.679951
3.000000	10	8.172857	46.592608	-53.834651	28.930784	-54.002503	0.049705	-27.382733	-0.078917	0.108365	0.105827	-0.064196	-0.086626	-0.033588	-0.063833	-0.240194	-0.017990	-0.013308	-0.021547	0.607249	-0.119195	-0.009166	-0.007369	-0.022913	-0.045897	-0.035993	-0.022462	0.161534	0.074953	0.117778	0.356886	0.054252	97.910317	127.312595	68.475006	-14.376172	-12.861810	49.107824	32.708384	37.917832	14.514481	-61.847459	-0.768277	-70.754745	-88.367467	-51.256473	-12.043786	0.679951
4.000000	10	8.212531	46.592608	-53.819391	28.930784	-53.987243	0.049705	-27.390362	0.023983	0.044395	0.127303	-0.053469	-0.086626	-0.022907	-0.106681	-0.229540	-0.017990	-0.004988	-0.017396	0.556764	-0.119195	-0.002867	-0.007369	-0.020402	-0.043458	-0.035993	-0.024156	0.163168	0.073288	0.115280	0.355213	0.053423	108.459897	127.312595	62.371915	-12.869089	-17.439128	52.159370	32.708384	36.392059	16.021564	-64.899005	-0.768277	-73.806291	-86.860384	-52.782246	-12.043786	0.679951
5.000000	10	8.946501	46.597949	-53.880428	28.920103	-54.017762	0.033136	-27.306436	-0.044617	0.065719	0.084352	-0.053469	-0.054362	-0.022907	-0.085257	-0.229540	-0.034409	-0.009148	-0.009095	0.556764	-0.092924	-0.000767	-0.008216	-0.022913	-0.046710	-0.035993	-0.024156	0.161534	0.073288	0.116945	0.355213	0.056739	106.952814	131.889914	76.103871	-5.333675	-11.336037	43.004733	37.229633	42.495150	3.964901	-71.002097	2.245888	-75.332064	-85.353301	-57.359565	-3.050488	0.679951
6.000000	10	9.601123	46.597949	-53.865169	28.925443	-54.002503	0.165682	-27.230140	-0.010317	0.108365	0.127303	-0.042741	-0.075871	-0.001544	-0.095969	-0.218886	-0.017990	-0.013308	-0.013246	0.657734	0.012161	-0.002867	-0.008216	-0.023750	-0.045084	-0.036826	-0.025003	0.161534	0.076619	0.115280	0.357722	0.055910	111.474063	141.044551	71.526552	-0.812426	-3.707172	43.004733	31.201301	28.763194	9.993233	-74.053642	-6.796609	-78.383609	-91.381632	-61.936883	1.446160	0.679951
7.000000	10	10.017701	46.597949	-53.865169	28.930784	-53.987243	0.198818	-27.169103	0.092582	0.214982	0.191731	-0.021287	-0.043607	0.019819	-0.074545	-0.218886	-0.026200	-0.004988	-0.004945	0.733461	0.064703	-0.002867	-0.007369	-0.022076	-0.045897	-0.035993	-0.024156	0.160717	0.074953	0.115280	0.354376	0.055910	120.516560	142.570324	79.155417	2.201739	2.395919	39.953187	25.172970	25.711649	-2.063430	-80.156734	-6.796609	-82.960928	-95.902881	-58.885338	4.443926	0.679951
8.000000	10	10.414441	46.597949	-53.834651	28.936125	-53.987243	0.248523	-27.108066	0.126882	0.236305	0.213207	0.053804	-0.032852	0.030501	-0.074545	-0.218886	-0.022095	-0.013308	-0.013246	0.884916	0.143517	-0.002867	-0.007369	-0.022076	-0.045897	-0.035993	-0.024156	0.161534	0.073288	0.115280	0.353540	0.055910	128.051974	145.621870	86.784281	8.230071	8.499011	33.850096	20.651721	25.711649	0.950735	-78.630961	-12.824940	-87.538247	-100.424129	-66.514202	11.938340	0.679951
9.000000	10	10.751671	46.608631	-53.834651	28.936125	-53.941465	0.314796	-27.047029	0.195481	0.278952	0.299110	0.053804	-0.000588	0.041182	-0.063833	-0.208232	-0.022095	-0.013308	-0.009095	1.036371	0.143517	-0.007066	-0.005675	-0.022913	-0.029637	-0.037660	-0.024156	0.162351	0.071622	0.114447	0.356049	0.056739	132.573223	156.302280	88.310054	14.258402	11.550556	32.324323	22.158804	22.660103	-9.598845	-81.682507	-14.332023	-93.641338	-104.945378	-66.514202	23.929403	0.679951
10.000000	10	11.128574	46.613971	-53.865169	28.936125	-53.987243	0.347932	-26.947844	0.264081	0.300275	0.299110	0.075258	-0.000588	0.062545	-0.031697	-0.208232	-0.017990	-0.009148	-0.004945	1.036371	0.301145	-0.004966	-0.008216	-0.022076	-0.029637	-0.035160	-0.022462	0.162351	0.073288	0.115280	0.356049	0.055081	129.559057	159.353826	94.413145	17.272568	23.756739	30.798550	14.623390	19.608557	-9.598845	-89.311371	-20.360355	-95.167111	-106.452461	-68.039975	26.927169	0.679951
